sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
in,parole,194,60000,0.0032333333333333333,1.034619023209149,0.005590032300158332,1.0276615583619784,True,309.2020725388601,302.71420720818867,0.9790173937794158,-0.010602537545419346,1.0425369778066171,1.0458012313356466,funzione,wikipedia,Alexander the Great
alexander,parole,291,60000,0.00485,1.0500830431370154,0.013711604467410142,0.9700679445563661,True,206.5448275862069,160.52026052463754,0.7771691133617964,-0.12538530236814868,0.9924215723944917,0.9155052946390718,keyword,wikipedia,Alexander the Great
alexander's,parole,58,60000,0.0009666666666666667,1.1814842473781302,0.009699913879735482,1.125546804142712,True,964.6842105263158,1218.6399350724494,1.2632527015318096,0.11631608850113617,1.0225227693922185,1.1293557117682258,keyword,wikipedia,Alexander the Great
philip,parole,57,60000,0.00095,1.5407123015840065,0.021091047734195102,1.4063000205001834,True,975.0357142857143,2415.2856030200332,2.4771252659082426,0.4248122092093827,0.9371942851002789,1.402336390504021,keyword,wikipedia,Alexander the Great
bc,parole,38,60000,0.0006333333333333333,0.9445744921064183,0.008649873855877076,0.9923069860269872,True,1507.6756756756756,1344.006490850192,0.8914427104807311,-0.05739390832074307,0.9566601791199059,0.9413908447717416,keyword,wikipedia,Alexander the Great
persian,parole,37,60000,0.0006166666666666666,1.2816804368250376,0.009299660070056249,1.28948221960238,True,1512.6666666666667,2417.5113768383508,1.5981785214885527,0.23022995400094495,0.9318981935534096,1.2802605519409436,keyword,wikipedia,Alexander the Great
macedonian,parole,32,60000,0.0005333333333333334,1.1238079206104203,0.0039180737093321115,1.1025884285459824,True,1751.4193548387098,2755.8201171846413,1.5734781676193295,0.22284166807206374,0.9604219248979516,1.135262743003681,keyword,wikipedia,Alexander the Great
death,parole,31,60000,0.0005166666666666667,1.2625412396855311,0.004441924162940263,1.2644730264176982,True,1685.4,2872.2851841887755,1.7042157257557704,0.2604140339280651,0.924367279310545,1.1838515454988918,keyword,wikipedia,Alexander the Great
was,parole,136,60000,0.002266666666666667,1.2157018780833524,0.015722159475200337,1.1091706747011665,True,440.8666666666667,587.8249917241716,1.3333396152824095,0.1428594505056927,1.0388437684156455,1.0945967586326473,appaiata,wikipedia,Alexander the Great
for,parole,59,60000,0.0009833333333333332,1.089944788540991,0.0057900392643604436,1.0679734939120882,True,998.2586206896551,1032.5871877778538,1.0343884504242824,0.016903581229587936,0.9702258604961669,1.0790569954802665,appaiata,wikipedia,Alexander the Great
