sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,label,gruppo,fonte
g,lettere,805,0.0161,50000,1.1882214489093157,0.0071248129839980075,1.1296087544786566,True,62.14427860696517,64.58227941199742,1.0392312994805446,0.019238278409387858,0.9838415724426476,1.032486662741553,lettera,United Kingdom,wikipedia,United Kingdom
p,lettere,700,0.014,50000,1.1054881007056487,0.008589921412106622,1.121135357578206,True,71.32188841201717,71.52510304419863,1.0028492603982597,0.0014226035152006971,0.9485930613530195,1.0053611181614703,lettera,United Kingdom,wikipedia,United Kingdom
w,lettere,566,0.01132,50000,1.0961683917449159,0.008735794030122949,1.0259356181038826,True,88.12743362831858,92.14530254724124,1.0455915797556095,0.02228772361345772,1.0104389956805628,0.9472916392018155,lettera,United Kingdom,wikipedia,United Kingdom
b,lettere,531,0.01062,50000,1.2306573927028623,0.009965014496284471,1.1696140266405046,True,94.1188679245283,96.5580573204463,1.0259160511564367,0.01279226310569154,1.0313586040244755,0.9436723338973354,lettera,United Kingdom,wikipedia,United Kingdom
the,parole,839,0.01678,50000,1.2279368946896598,0.0050506416931047704,1.2162601222783922,True,59.62291169451074,52.56513101780793,0.8816263668425875,-0.06291027551662456,1.0247546126592033,1.024928160172785,funzione,United Kingdom,wikipedia,United Kingdom
of,parole,375,0.0075,50000,1.1430471264292041,0.00607861390808997,1.1836926237564536,True,133.475935828877,135.43075239952915,1.014645460685575,0.007269497770883846,1.0570312526489918,1.0547323009670928,funzione,United Kingdom,wikipedia,United Kingdom
and,parole,318,0.00636,50000,0.9709286234218142,0.0024495223833819924,0.9691639017730754,True,157.2460567823344,126.51653226101004,0.8045768196027882,-0.10829307917200619,0.9542697241022656,1.0114885885925649,funzione,United Kingdom,wikipedia,United Kingdom
in,parole,243,0.00486,50000,1.1577005173291761,0.006302654627092806,1.1207209403579885,True,205.93388429752065,209.36544062179493,1.0166633885238456,0.00826285071602504,0.9326644134400844,1.022387564773931,funzione,United Kingdom,wikipedia,United Kingdom
to,parole,144,0.00288,50000,1.1994477134958295,0.00381670506119113,1.186743297951052,True,333.6713286713287,373.8193202232408,1.120321969861122,0.05674702784360758,0.9545958992254039,1.0081507222965924,funzione,United Kingdom,wikipedia,United Kingdom
is,parole,93,0.00186,50000,1.459204198404786,0.019969387453103234,1.309139800966735,True,537.9891304347826,910.8313253161956,1.6930292338436204,0.25734189036429284,1.0251489333306034,1.2989856839010556,funzione,United Kingdom,wikipedia,United Kingdom
