corpus,titolo,sequenza,tipo,n_eventi,mean_tau,cv_tau,J
letterario,wrnpc_1,princess,keyword,69,864.8382352941177,1.4849651269597057,-0.13974304307847485
letterario,wrnpc_1,prince,keyword,66,909.4769230769231,1.3022420263590362,-0.07756997895379461
letterario,wrnpc_1,anna,keyword,52,841.3137254901961,2.257131320533029,-0.06303339397576228
letterario,wrnpc_1,mikháylovna,keyword,52,841.3137254901961,2.257131320533029,-0.04923399723516338
letterario,wrnpc_1,will,keyword,48,1155.5744680851064,1.4772522918611832,0.43827023606155013
letterario,wrnpc_1,know,keyword,42,1322.5365853658536,2.507009346667232,0.5683032686999798
letterario,wrnpc_1,is,appaiata,87,693.4651162790698,1.9357251051849482,0.18787205672290294
letterario,wrnpc_1,him,appaiata,69,843.2352941176471,1.266508124244214,0.0009525986447202111
letterario,wrnpc_1,for,appaiata,64,902.6349206349206,1.4685339410485163,0.14060341811435767
letterario,wrnpc_1,all,appaiata,56,1030.2545454545455,1.0522452619389067,-0.08614187351879223
letterario,wrnpc_1,be,appaiata,50,1212.5102040816328,1.15537654848433,0.2164194911393484
letterario,wrnpc_1,said,appaiata,48,1244.3191489361702,1.0792525811349296,-0.004853531922841124
letterario,wrnpc_1,an,appaiata,42,1352.3658536585365,0.9055579106087615,-0.22753965538375243
letterario,wrnpc_2,vocali,vocali,17462,3.4360002290819542,0.4663350636274093,-0.6687420199478018
letterario,wrnpc_2,spazio,spazio,9566,6.272556194458965,0.5474553554076931,-0.9347494197819676
letterario,wrnpc_2,e,lettera,5798,10.34690357081249,0.8364365395975367,-0.3109681802858851
letterario,wrnpc_2,t,lettera,4195,14.295422031473533,0.8678431976518206,-0.2834106369934346
letterario,wrnpc_2,a,lettera,3704,16.2001080205239,0.8880361099074418,-0.38863319639745736
letterario,wrnpc_2,o,lettera,3392,17.679445591271012,0.9107038342695752,-0.21722361777660223
letterario,wrnpc_2,n,lettera,3391,17.692920353982302,0.9143472439662326,-0.27533468246660775
letterario,wrnpc_2,i,lettera,3310,18.128437594439408,0.8853708028322756,-0.36035132192710334
letterario,wrnpc_2,h,lettera,3048,19.680341319330488,0.8482336740866926,-0.41305842264501264
letterario,wrnpc_2,s,lettera,3003,19.974350433044638,0.9519378848305332,-0.081957688399438
letterario,wrnpc_2,r,lettera,2721,22.048529411764704,0.8935559691161605,-0.27810712872644716
letterario,wrnpc_2,d,lettera,2208,27.165835976438604,0.9395364481130555,-0.2070053784487247
letterario,wrnpc_2,l,lettera,1820,32.98185816382628,1.0990648702298431,0.12543113003494538
letterario,wrnpc_2,u,lettera,1258,47.64280031821798,0.9924525396782594,-0.2098815745022158
letterario,wrnpc_2,c,lettera,1123,53.19162210338681,0.9615179674167874,-0.15074997652554048
letterario,wrnpc_2,f,lettera,1097,54.71350364963504,1.0834349861308812,0.08565277086202112
letterario,wrnpc_2,w,lettera,1091,54.961467889908256,0.9610040607789117,-0.16900677096863254
letterario,wrnpc_2,m,lettera,1035,57.849129593810446,1.032591026721087,-0.0652739421477047
letterario,wrnpc_2,g,lettera,1021,58.58039215686274,0.9444614195513746,-0.11119015710039365
letterario,wrnpc_2,y,lettera,827,72.55569007263922,1.0399340919567774,-0.17149939166492575
letterario,wrnpc_2,p,lettera,769,77.76041666666667,1.0988942370773,0.1435404080915435
letterario,wrnpc_2,the,funzione,799,74.96992481203007,0.9478810196076403,-0.5040400702335585
letterario,wrnpc_2,and,funzione,367,163.78415300546447,0.8674974864416911,-0.40513854709960073
letterario,wrnpc_2,of,funzione,296,201.77627118644068,1.0665084182770581,-0.17794142471377758
letterario,wrnpc_2,to,funzione,264,226.70722433460077,1.1132560044920514,-0.09484944259258014
letterario,wrnpc_2,he,funzione,195,305.9072164948454,1.6137190412214952,0.03277565978312792
letterario,wrnpc_2,his,funzione,173,347.4011627906977,1.3562847137717882,0.07258488981478715
letterario,wrnpc_2,prince,keyword,55,1053.111111111111,2.4675853376949872,0.0947859146032956
letterario,wrnpc_2,bridge,keyword,53,948.0576923076923,2.8997299544556503,0.06976922581352205
letterario,wrnpc_2,andrew,keyword,39,676.7105263157895,0.9875007222775934,-0.35732235007589697
letterario,wrnpc_2,nesvítski,keyword,31,990.6333333333333,1.8581379108519924,0.31429041668638824
letterario,wrnpc_2,will,keyword,27,2204.0384615384614,1.4929768441149094,0.583644661185932
letterario,wrnpc_2,rostóv,keyword,25,596.5833333333334,1.2889740928941587,
letterario,wrnpc_2,bilíbin,keyword,27,651.5769230769231,0.8760253618512036,-0.2354857079916933
letterario,wrnpc_2,is,appaiata,50,1179.8367346938776,1.7035230416837672,0.36650927257284177
letterario,wrnpc_2,were,appaiata,50,1153.6326530612246,1.4513049014624853,0.41771503407387756
letterario,wrnpc_2,what,appaiata,40,1458.2307692307693,1.2277121106928715,0.37811500360985056
letterario,wrnpc_2,this,appaiata,30,1664.7586206896551,1.258208897004532,0.14457208005796252
letterario,wrnpc_2,their,appaiata,26,2160.8,1.4529432009790118,0.5383648766438435
letterario,wrnpc_2,them,appaiata,24,2246.217391304348,1.3838221062427003,
letterario,wrnpc_2,have,appaiata,23,2690.1363636363635,1.4414867199162904,
letterario,wrnpc_3,vocali,vocali,17600,3.409170975623615,0.4620765622368819,-0.6926977635403799
