sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
iron,parole,61,60000,0.0010166666666666666,1.5780991063637566,0.008489435677192,1.527096733741341,True,891.5333333333333,1995.7561029842477,2.238565882357266,0.38244270067334457,0.9218847697564841,1.4382121706111155,keyword,wikipedia,Industrial Revolution
industrial,parole,59,60000,0.0009833333333333332,1.1931158183499695,0.01540701508551282,1.1011757461748923,True,1023.1551724137931,1128.1942224498705,1.1026618961308408,0.04882472846431062,0.9649021553478617,1.1359137267841917,keyword,wikipedia,Industrial Revolution
cotton,parole,46,60000,0.0007666666666666667,1.6369787867094807,0.006672579665033104,1.5948156487364435,True,893.8222222222222,4373.829315001636,4.893399611532834,0.6606373007378991,0.9755977205435912,1.6007605982648023,keyword,wikipedia,Industrial Revolution
revolution,parole,46,60000,0.0007666666666666667,1.2492639372406371,0.023450556019250657,1.1325297625786983,True,1318.7333333333333,1728.4736093391239,1.3107074536214982,0.1344642105752229,0.909580069622224,1.1827275299515798,keyword,wikipedia,Industrial Revolution
century,parole,47,60000,0.0007833333333333334,0.9748002772731342,0.004069126887780786,0.9961467842031883,True,1276.695652173913,1214.6441979181525,0.9513968312259061,-0.02490686056078116,0.9730223973346401,0.9501223837875773,keyword,wikipedia,Industrial Revolution
steam,parole,43,60000,0.0007166666666666667,1.3752600547489555,0.007919042829377151,1.3784964585631156,True,1265.095238095238,2201.3237127395537,1.7400458451285665,0.2700852054881741,0.994431568824865,1.3553859676328746,keyword,wikipedia,Industrial Revolution
first,parole,38,60000,0.0006333333333333333,1.1607255653101003,0.0067270938768778,1.1749113445506167,True,1603.4864864864865,2090.469559448063,1.3037026361404767,0.13183239510863556,0.9499134836666471,1.183336719534863,keyword,wikipedia,Industrial Revolution
with,parole,62,60000,0.0010333333333333334,1.109851831966077,0.008174480027499773,1.0527527405575843,True,959.5245901639345,1081.090724015294,1.12669413071591,0.059573273319403444,0.9596706427454024,1.0821268437602682,appaiata,wikipedia,Industrial Revolution
as,parole,71,60000,0.0011833333333333333,1.0234451693898785,0.01162617598187543,1.0920240774194558,True,826.2571428571429,970.8510189700564,1.1749986397853305,0.0804591950469462,0.943841619474841,1.0731853481811886,appaiata,wikipedia,Industrial Revolution
from,parole,46,60000,0.0007666666666666667,1.0179032996186228,0.005924911300194567,1.0525699273900149,True,1315.0666666666666,1522.108830179068,1.157438530502181,0.07297474680102911,0.9673146912892827,1.0535913835288413,appaiata,wikipedia,Industrial Revolution
th,parole,47,60000,0.0007833333333333334,0.9919331553003217,0.0018156309193730375,0.9992394280525401,True,1276.695652173913,1388.3448958232439,1.0874517301435298,0.04189401310731951,1.0112900561852864,0.9930286534470604,appaiata,wikipedia,Industrial Revolution
which,parole,43,60000,0.0007166666666666667,1.041073235298208,0.0027463286924660824,1.0249423364947499,True,1328.6666666666667,1234.2983128900614,0.9289751476844416,-0.036819993456534306,1.023061796273611,1.0615351014315018,appaiata,wikipedia,Industrial Revolution
had,parole,38,60000,0.0006333333333333333,1.0540140303838976,0.010621914581224832,0.9947432740064921,True,1602.7567567567567,1508.9705174464218,0.9414844211918251,-0.030139607698862602,0.9020536789286925,1.0148539379188315,appaiata,wikipedia,Industrial Revolution
it,parole,38,60000,0.0006333333333333333,1.1307503911453705,0.006488473500072826,1.0938508884667926,True,1508.5945945945946,1497.760188107923,0.9928182120461707,-0.003603834966188535,1.011510988067663,1.0678544694807197,appaiata,wikipedia,Industrial Revolution
vocali,vc,18377,60000,0.30628333333333335,1.2217522696593197,0.006240042804314307,1.2317509355917915,True,3.2649651719634307,1.636071029140356,0.5010990754784936,-0.3323570926605732,0.9694756268836189,0.9525458873181956,vocali,wikipedia,Isaac Newton
spazio,lettere,9442,60000,0.15736666666666665,1.3210085077857083,0.003999676460093505,1.3330524481605164,True,6.354199766973838,3.1404205290845537,0.49422754150837256,-0.338484229772038,0.9384010136191726,0.9534236409318081,spazio,wikipedia,Isaac Newton
e,lettere,5896,60000,0.09826666666666667,1.1838312003198996,0.010328978106447447,1.1443235146775694,True,10.174215436810856,8.408816296465393,0.8264830196185786,-0.09500059870124421,0.9795965011484139,0.9805012212112292,lettera,wikipedia,Isaac Newton
t,lettere,4531,60000,0.07551666666666666,1.113193661633221,0.015705366261484093,1.0493703973513198,True,13.241942604856511,11.194331425416243,0.8453692754498646,-0.08379391951913764,1.0339804897839673,0.9447071987755306,lettera,wikipedia,Isaac Newton
i,lettere,3886,60000,0.06476666666666667,1.234336418862941,0.005155208494422864,1.2225227265741407,True,15.443243243243243,13.71614111435058,0.888164545381469,-0.05922971856032633,0.9502758641216892,0.932846787835009,lettera,wikipedia,Isaac Newton
o,lettere,3726,60000,0.0621,1.212002259087671,0.008344683046646949,1.1770851126559347,True,16.09744966442953,13.783363251275006,0.8562451530276904,-0.07744389082327487,0.9726944291135527,0.9615218620323382,lettera,wikipedia,Isaac Newton
n,lettere,3713,60000,0.06188333333333333,1.049368732458309,0.012707394601616644,0.9693303488344802,True,16.15705818965517,14.440946707712442,0.8937856470033946,-0.056085731331142065,0.9543857136458428,1.046977847818168,lettera,wikipedia,Isaac Newton
a,lettere,3640,60000,0.06066666666666667,1.0962169294771213,0.018886799153304074,1.0034699884503997,True,16.485298158834844,14.338741059672307,0.8697896102041595,-0.06963905943493988,0.9499530019396532,0.9884393213373223,lettera,wikipedia,Isaac Newton
s,lettere,3105,60000,0.05175,1.0115582185333138,0.011304691351715225,0.9369138541459174,True,19.32667525773196,17.190378253782207,0.8894638122977158,-0.0585013520676349,0.9414935209322924,0.9768724568593447,lettera,wikipedia,Isaac Newton
r,lettere,2926,60000,0.048766666666666666,1.0933192299445291,0.008850693440504287,1.1470134914868306,True,20.51042735042735,17.51150620333704,0.8537855357251819,-0.07887345189454209,1.081069840963994,1.0108800009073018,lettera,wikipedia,Isaac Newton
h,lettere,2492,60000,0.04153333333333333,1.1582621383766856,0.004046018796929763,1.143997043558644,True,24.038940184664792,21.251782092078578,0.8840565319778851,-0.061539272338286606,0.9848418680284604,1.0177431045421501,lettera,wikipedia,Isaac Newton
l,lettere,1976,60000,0.032933333333333335,1.0174727915195783,0.005862603491898932,0.9890321014478132,True,30.31746835443038,29.809322669342063,0.9832391781811142,-0.008451235737616684,0.954471198175643,0.9938456656114031,lettera,wikipedia,Isaac Newton
d,lettere,1884,60000,0.0314,1.062917331315238,0.00885803426109949,1.0053891161453832,True,31.82421667551779,28.832994292884592,0.9060079808677796,-0.049313549615583006,1.0188620546977618,1.013114707111183,lettera,wikipedia,Isaac Newton
c,lettere,1743,60000,0.02905,1.1413389216145882,0.0031659316893946536,1.1277008615477564,True,34.392652123995404,33.91643806166904,0.986153610352308,-0.006971459596841521,0.9545555929118144,1.0576708076742152,lettera,wikipedia,Isaac Newton
u,lettere,1229,60000,0.020483333333333333,1.030950921850537,0.010714604521181883,1.0969387200626832,True,48.81596091205212,44.510947594025815,0.9118113576462766,-0.046128318048228714,0.9552142688403052,0.9512671830002608,lettera,wikipedia,Isaac Newton
m,lettere,1190,60000,0.019833333333333335,1.2630422901903162,0.01433860710545749,1.165752262047692,True,50.38856181665265,51.92008950275085,1.0303943520291554,0.014969679165419091,1.0113595418182861,1.0523749183826254,lettera,wikipedia,Isaac Newton
f,lettere,1063,60000,0.017716666666666665,1.2321459060246263,0.008290206361122099,1.1785135930801323,True,56.249529190207156,52.04376171659897,0.9252301746493481,-0.038836823947178196,0.944373232733597,0.9295257599018917,lettera,wikipedia,Isaac Newton
p,lettere,987,60000,0.01645,1.2795852630257691,0.004370763408172641,1.2623203740759557,True,60.61967545638945,62.96627393369036,1.0387101788261648,0.018987583045498448,0.9527198488009007,0.9638068852878995,lettera,wikipedia,Isaac Newton
