modello,temperatura,n_token,alpha,MAPE,beta,R,TTR,alpha_DFA,alpha_DFA_mescolato,R_gzip,compr_condizionata,prefix_trend,NCD_shuffle,H_bit_char,H_parola_norm,D_s_umano,LCS_umano,rip_8gram,dist_rip_media,quota_non_ascii,max_fft,gapelmaper,copertura
Qwen3.5-2B-Base,1.2,20000.0,1.3611,0.5481,0.7092,0.5919,0.3217,0.6039,0.4939,0.7373,0.7149,-0.0038,0.9761,4.7082,0.9946,1.2073,16.0,0.0,1011.6993,0.2765,0.0517,1.4135,0.2458
Qwen3.5-2B-Base,1.3,20000.0,1.4227,0.5754,0.7107,0.595,0.3319,0.5691,0.507,0.7232,0.699,-0.0103,0.969,4.5614,0.9961,1.3001,17.4,0.0,1235.1955,0.2807,0.0495,0.9618,0.2543
Qwen3.5-2B-Base,1.4,20000.0,1.4476,0.6023,0.7197,0.6048,0.3452,0.579,0.486,0.7102,0.6901,-0.055,0.9455,4.485,0.9967,1.4232,16.0,0.0,1301.713,0.271,0.0231,0.9712,0.2506
Qwen3.5-2B-Base,1.5,20000.0,1.4797,0.6925,0.7273,0.6247,0.3488,0.5844,0.4973,0.7091,0.6883,-0.0249,0.9656,4.4593,0.9965,1.5046,15.0,0.0,1299.5939,0.2727,0.0191,1.0542,0.2653
Qwen3.5-4B-Base,0.4,20000.0,0.3341,0.5633,-0.0,0.0,0.0051,0.3171,0.5052,0.0106,0.0042,-0.0078,1.0213,0.001,0.6414,1.9335,23.0,0.9893,17.1748,0.0221,9.9536,0.8747,0.982
Qwen3.5-4B-Base,0.5,20000.0,0.3463,0.5241,-0.0,0.0,0.0064,0.5286,0.5025,0.0123,0.0041,-0.0003,1.0251,0.001,0.5603,1.9746,24.0,0.9802,13.6406,0.0262,13.4757,0.9519,0.9884
Qwen3.5-4B-Base,0.6,20000.0,0.4011,0.5355,0.0014,0.0,0.0099,0.442,0.4893,0.0172,0.005,-0.0003,1.0178,0.0011,0.6279,1.7035,27.2,0.971,29.4792,0.0133,6.5685,1.3169,0.988
Qwen3.5-4B-Base,0.7,20000.0,0.4223,0.3687,0.0356,0.0,0.0194,0.5987,0.4967,0.0325,0.0051,-0.0048,1.0221,0.001,0.5093,1.5708,24.2,0.9285,17.2053,0.0251,8.2858,1.038,0.9918
Qwen3.5-4B-Base,0.8,20000.0,0.5595,0.2563,0.181,0.0247,0.038,0.652,0.4952,0.0697,0.011,-0.0008,1.0125,0.046,0.5009,0.9512,27.4,0.8234,40.6194,0.025,9.2565,0.9976,0.9739
Qwen3.5-4B-Base,0.9,20000.0,0.6557,0.22,0.3147,0.0029,0.0602,0.7768,0.5111,0.1124,0.0081,-0.0025,1.0064,0.2625,0.4277,0.7436,26.6,0.7415,37.3172,0.0078,10.4362,1.6621,0.9448
Qwen3.5-4B-Base,1.0,20000.0,1.2785,0.2211,0.8773,0.5935,0.3188,0.7124,0.4935,0.565,0.6163,-0.0005,0.991,4.6859,0.8784,0.2446,25.0,0.0006,592.8719,0.0926,0.0949,0.9314,0.7493
Qwen3.5-4B-Base,1.1,20000.0,1.9463,0.5156,0.8837,0.7221,0.5154,0.5493,0.5024,0.5763,0.5462,-0.0046,0.9753,3.1551,0.9776,0.5376,20.0,0.0008,2100.6287,0.0581,0.0394,1.1108,0.6784
Qwen3.5-4B-Base,1.2,20000.0,1.7079,0.7252,0.8011,0.6859,0.4797,0.5416,0.491,0.6243,0.5972,-0.0377,0.9657,3.5051,0.99,0.8359,19.4,0.0,2035.0548,0.114,0.0299,0.8995,0.537
Qwen3.5-4B-Base,1.3,20000.0,1.477,0.5142,0.7746,0.6087,0.4341,0.5424,0.4982,0.6105,0.5722,-0.0424,0.9714,3.64,0.9861,1.0434,18.8,0.0,1621.1521,0.1615,0.0298,0.9648,0.4563
Qwen3.5-4B-Base,1.4,20000.0,1.5539,0.6282,0.7779,0.681,0.4338,0.5355,0.4989,0.633,0.606,-0.0146,0.9692,3.6749,0.9919,1.1568,16.4,0.0,1783.5103,0.1658,0.0223,0.9977,0.4292
Qwen3.5-4B-Base,1.5,20000.0,1.5699,0.6015,0.7809,0.6619,0.4284,0.5241,0.4877,0.6416,0.6157,-0.0153,0.9698,3.8089,0.9922,1.273,16.0,0.0,1665.2144,0.1827,0.0205,1.0266,0.3842
War and Peace (umano),,20000.0,1.0755,0.1415,0.6684,0.5074,0.1787,0.5858,0.4866,0.381,0.365,-0.0001,0.963,2.2269,0.7901,0.0,,0.0,692.9765,0.0143,0.2761,0.5739,0.9841
