modello,temperatura,sample_id,alpha_o1,alpha_o2,alpha_o2_mescolato,deriva
Qwen2.5-1.5B,1.5,4,0.5332082071998383,0.5156318884144804,0.4963796101154996,0.13916571318506007
Qwen2.5-1.5B,1.5,5,0.502106427917653,0.5129869864093793,0.5063526215003104,0.11204973941039853
Qwen2.5-3B,0.4,1,0.13463713955387577,0.15544358072261472,0.48523271109394317,0.004081402024579811
Qwen2.5-3B,0.4,2,0.8015070565291375,0.6605998778727769,0.5034358486563916,0.01834958628792854
Qwen2.5-3B,0.4,3,0.5789353949249896,0.4424566774519391,0.4950554035717435,0.014200955417904212
Qwen2.5-3B,0.4,4,0.4767683567208246,0.3891420893089702,0.5065663050603674,0.010686605994319746
Qwen2.5-3B,0.4,5,0.23872805615187725,0.306968569795534,0.4862055896060517,0.007190735763255681
Qwen2.5-3B,0.5,1,0.8454185019454284,0.614691051649538,0.4964464317114753,0.0755964334476909
Qwen2.5-3B,0.5,2,0.536525197216245,0.5038279442899583,0.5036391478782459,0.005514624401587518
Qwen2.5-3B,0.5,3,0.5360571718196209,0.4316982549531881,0.5136493916947336,0.008459704820712571
Qwen2.5-3B,0.5,4,0.39721132732716513,0.34205962519893435,0.46903789191328005,0.014788401707004503
Qwen2.5-3B,0.5,5,0.9118992352876655,0.7398371676980333,0.47500227718259846,0.0493972916518776
Qwen2.5-3B,0.6,1,0.45197625776111394,0.38918906003353276,0.5087680974186857,0.010140841933245897
Qwen2.5-3B,0.6,2,0.7414880137637777,0.5627370943817317,0.5158003892433889,0.05097018125008055
Qwen2.5-3B,0.6,3,0.6529205236400367,0.37446812816887387,0.5021558605164478,0.03444430093206692
Qwen2.5-3B,0.6,4,0.4911990318512358,0.38905061298451094,0.5214834228039724,0.008481159171537245
Qwen2.5-3B,0.6,5,1.0825371281326062,0.8657023455294455,0.5073068836014939,0.0900535073452972
Qwen2.5-3B,0.7,1,0.8695692579241175,0.760530082995741,0.4694854266935221,0.3587913870090793
Qwen2.5-3B,0.7,2,0.7762887418522848,0.5829535486896545,0.502681978357113,0.09161620462467955
Qwen2.5-3B,0.7,3,0.7843153660299796,0.5244671992605303,0.4895513480170611,0.05255436852380313
Qwen2.5-3B,0.7,4,0.71329398064436,0.607756567734877,0.504159263593296,0.06287189245249743
Qwen2.5-3B,0.7,5,0.9055614507039766,0.6825002028699351,0.4964123121525867,0.10369785546090235
Qwen2.5-3B,0.8,1,0.6430952537971331,0.5807768859105471,0.4913269799809973,0.010003308365118539
Qwen2.5-3B,0.8,2,0.8818420889187076,0.9372373553029475,0.5032230901580632,0.38580453756805694
Qwen2.5-3B,0.8,3,0.6106152029925134,0.47253799624055465,0.5077102874285884,0.04164839911266564
Qwen2.5-3B,0.8,4,0.8455899065869465,0.7708916079350993,0.4924027810381123,0.3241041866693469
Qwen2.5-3B,0.8,5,0.676836742216503,0.5655289878240416,0.5225747183582599,0.17784874517192137
Qwen2.5-3B,0.9,3,0.6600912478576378,0.6091270462951172,0.5119789457700337,0.18893375711090976
Qwen2.5-3B,0.9,4,0.8799247205040374,0.6840723834759599,0.48487652881847376,0.23181008491299837
Qwen2.5-3B,0.9,5,0.8543450251505711,0.7444405730363741,0.517170022855515,0.21173940919063142
Qwen2.5-3B,1.0,4,0.699422898440285,0.7106883521597526,0.5150990925384212,0.5007572892223193
Qwen2.5-3B,1.1,1,0.5839221084580053,0.5683407738374476,0.4903421413370158,0.11090004309381563
Qwen2.5-3B,1.1,3,0.6186697126306775,0.5273930634839239,0.4742726746008845,0.2854914148092554
Qwen2.5-3B,1.1,4,0.6881072445058418,0.5642131875573559,0.48434931264958947,0.3286653968166776
Qwen2.5-3B,1.1,5,0.7351900958903034,0.6562544123200854,0.4952891225858397,0.4100297925266099
Qwen2.5-3B,1.2,1,0.5431877108446047,0.49597361416629504,0.5144108856098311,0.14442061609666815
Qwen2.5-3B,1.2,2,0.6618525013054196,0.588212913141301,0.5051923077773222,0.16912622469120647
Qwen2.5-3B,1.2,3,0.5821609325305606,0.5795900056839851,0.477644436485022,0.17623127894952115
Qwen2.5-3B,1.2,4,0.6398274476457114,0.5656368028503905,0.5093523920946534,0.2431534633760519
Qwen2.5-3B,1.2,5,0.688151818461059,0.5824792605992435,0.48822142099604526,0.25557903431657886
Qwen2.5-3B,1.3,1,0.5466810020301389,0.5404845807261662,0.4922076886878302,0.15664590937841488
Qwen2.5-3B,1.3,2,0.5695695044579775,0.5571294476816337,0.49198278373680604,0.14550273336163425
Qwen2.5-3B,1.3,3,0.5718247010101463,0.5179178302438998,0.5189108955034094,0.1469039883473742
Qwen2.5-3B,1.3,4,0.4636184827754067,0.4963974262165927,0.5034612447397413,0.18516777655083677
Qwen2.5-3B,1.3,5,0.5840885784978964,0.5419684856543822,0.5028145324392876,0.17492075430927967
Qwen2.5-3B,1.4,1,0.5238419235959708,0.5418154528000816,0.5203458326269464,0.1417105441838765
Qwen2.5-3B,1.4,2,0.4997491224248485,0.49329301747076393,0.509550752707139,0.17595850106820543
Qwen2.5-3B,1.4,3,0.49739259442329337,0.48955171139677556,0.4802909199152587,0.14603027462670137
Qwen2.5-3B,1.4,4,0.5129363254233454,0.5315403128482331,0.5100158092105249,0.15683953407654375
Qwen2.5-3B,1.4,5,0.5159194308057623,0.5052986599566556,0.49971764815404784,0.1315416562522063
Qwen2.5-3B,1.5,1,0.519075854941278,0.5072456615054182,0.4730036727787381,0.1985869101031534
Qwen2.5-3B,1.5,2,0.5415371449968462,0.530078899292909,0.4996163448995543,0.22230442595478675
Qwen2.5-3B,1.5,3,0.5136824395383371,0.49762552604562665,0.514488528329665,0.17420608365679127
Qwen2.5-3B,1.5,4,0.5364489931992996,0.522881011368704,0.5052933878925213,0.20479279322427887
Qwen2.5-3B,1.5,5,0.498905721759598,0.5176528576797401,0.48232727380339646,0.19208640553215123
Qwen2.5-14B,0.4,1,0.8930188672608518,0.7140165772008338,0.49694725033219184,0.05213429114841138
Qwen2.5-14B,0.6,1,0.3623852941881357,0.35800702934058015,0.5049359006200029,0.016962863140581597
Qwen2.5-14B,0.7,1,0.8266939848137667,0.7018852859412251,0.505276524213365,0.4108306672527117
Qwen2.5-14B,0.8,1,0.7251765974517106,0.6481385361571483,0.477167757109681,0.23175990471838598
Qwen2.5-14B,1.1,1,0.6905602970333814,0.5593212473269399,0.4718105331306618,0.2763081224021042
Qwen2.5-14B,1.2,1,0.6455092487616494,0.5445196732363624,0.5053715387041753,0.25702417939352434
Qwen2.5-14B,1.3,1,0.5495839124748559,0.5216457627603595,0.4941357465244013,0.1643902650954813
Qwen2.5-14B,1.4,1,0.5504456793748219,0.5418786020319644,0.5182857464838065,0.25359072907446045
Qwen2.5-14B,1.5,1,0.5265770839592263,0.5178282093046672,0.5067446487124785,0.13247104826774067
Qwen2.5-14B,0.5,3,0.34767546241451125,0.21520990095345463,0.4978218824621821,0.009073908207153059
Qwen2.5-14B,0.9,3,0.5371104336869096,0.5367546153517198,0.476958267389619,0.06925847187627807
Qwen2.5-14B,1.0,5,0.786521447621618,0.7177409361328582,0.49219619747433496,0.7250575498159952
Qwen3.5-2B-Base,0.4,2,0.11678603090675915,0.1663037210414531,0.5088354368143039,0.0027311997357171575
Qwen3.5-2B-Base,0.4,1,0.123246949936025,0.10360181473737537,0.5071081181445624,0.00319099924917898
Qwen3.5-2B-Base,0.4,3,0.06156974195663091,0.06803574158068769,0.4805711637936968,0.0012809517053299514
Qwen3.5-2B-Base,0.4,4,0.07928171740524848,0.09261368726892677,0.5009928457342647,0.0025891172820327333
Qwen3.5-2B-Base,0.4,5,0.5240265876319466,0.47786674497857135,0.5094632987848802,0.010358123202697894
Qwen3.5-2B-Base,0.5,1,0.8225314905946779,0.6361638327024073,0.5078719593905561,0.05239123372808223
Qwen3.5-2B-Base,0.5,2,0.9126704415367313,0.6489451708424293,0.4935298179216854,0.04423270354740937
Qwen3.5-2B-Base,0.5,3,0.8264406096835515,0.6608183476759653,0.4834861480093049,0.02851152876922574
Qwen3.5-2B-Base,0.5,4,1.032304141724703,0.8588386473466758,0.5084358928375208,0.05669767707969408
Qwen3.5-2B-Base,0.5,5,0.4146987610749927,0.3368922388763364,0.5036143898267835,0.016862960069160052
Qwen3.5-2B-Base,0.6,1,0.933680620582306,0.7882176924807668,0.5258297529141945,0.03504014543201252
Qwen3.5-2B-Base,0.6,2,0.36229899656924275,0.25002969264896596,0.49442723600719873,0.015837281518163004
Qwen3.5-2B-Base,0.6,3,0.8937268840964468,0.6701926696423485,0.5019511419699463,0.1042359158600204
Qwen3.5-2B-Base,0.6,4,0.6128936762053505,0.5059642570691525,0.5064679626779258,0.08290777587038048
Qwen3.5-2B-Base,0.7,1,0.9000503279379306,0.7493339832655723,0.48961404687391474,0.11292162515876782
Qwen3.5-2B-Base,0.6,5,0.34416896608674735,0.3869703797446583,0.48232064838554956,0.001567164858810805
Qwen3.5-2B-Base,0.7,2,0.9110036077900989,0.8006832444839944,0.5023340243997194,0.33200098385623916
Qwen3.5-2B-Base,0.7,3,0.4297890242173246,0.31715817995388246,0.49698801578744956,0.030637582783548153
Qwen3.5-2B-Base,0.7,4,0.6205664350482789,0.5053224523476372,0.4922328706842669,0.09559991200037968
