modello,temperatura,sample_id,copertura,C_lag1,ampiezza,rumore,max_fft,gapelmaper,fase
Qwen2.5-3B,0.6,2,0.999875327265927,-0.09646740555763245,0.8087953925132751,0.015072367154061794,10.486720877409674,0.9826815184825837,solido (periodico)
Qwen2.5-3B,0.6,3,0.9981642393831844,-0.0520889088511467,0.9497012495994568,0.01690021902322769,8.017739870223561,0.9757963532944571,solido (periodico)
Qwen2.5-3B,0.6,4,0.9998769533653254,0.02725852280855179,0.9530053734779358,0.011605813167989254,7.903093161436947,1.1659983315983058,solido (periodico)
Qwen2.5-3B,0.6,5,0.9998687922325001,-0.31390801072120667,0.9779762029647827,0.023205623030662537,33.05396558344364,0.9939003152251156,solido (periodico)
Qwen2.5-3B,0.7,1,0.9947916666666666,-0.3609943687915802,0.8894274234771729,0.032153066247701645,34.070821078991365,1.4320618301390233,solido (periodico)
Qwen2.5-3B,0.7,2,0.9987703435804701,-0.05758386105298996,0.9361804723739624,0.022006802260875702,12.24409319626305,0.680229008838347,solido (periodico)
Qwen2.5-3B,0.7,3,0.9998233839632639,-0.04296887665987015,0.9552850723266602,0.020087892189621925,9.244137566673036,0.9653645846835074,solido (periodico)
Qwen2.5-3B,0.7,4,0.9480149304377333,-0.04354904219508171,0.9198926091194153,0.009674731642007828,5.47504270177044,1.0035847926815962,solido (periodico)
Qwen2.5-3B,0.7,5,0.9993972272453285,-0.20261117815971375,0.9364998936653137,0.02174004726111889,14.678993353496212,1.1511103960684121,solido (periodico)
Qwen2.5-3B,0.8,1,0.9982572324851865,-0.05726682022213936,0.9817436933517456,0.012590829282999039,14.314690832590637,0.3518525732856303,solido (periodico)
Qwen2.5-3B,0.8,2,0.9955241307732227,-0.3105352222919464,0.9215136766433716,0.053533025085926056,37.73360363394022,9.009583112895129,solido (periodico)
Qwen2.5-3B,0.8,3,0.99939584340261,-0.04123246297240257,0.6100157499313354,0.012598579749464989,5.56762844921568,0.7980127867379597,solido (periodico)
Qwen2.5-3B,0.8,4,0.9983179142136249,-0.4166315495967865,0.8832481503486633,0.02272827923297882,45.16869627684355,0.9992153651306006,solido (periodico)
Qwen2.5-3B,0.8,5,0.9976768021865391,-0.16195353865623474,0.8911516666412354,0.04118998721241951,19.25790460630432,1.0062770652588726,solido (periodico)
Qwen2.5-3B,0.9,3,0.9413942011104257,-0.08428256213665009,0.7177900075912476,0.031094767153263092,10.07045099210828,1.0011327564740242,solido (periodico)
Qwen2.5-3B,0.9,4,0.9961807765754297,-0.1282089352607727,0.472289502620697,0.0400361567735672,6.473118803374553,1.0323373866594956,solido (periodico)
Qwen2.5-3B,0.9,5,0.7587968217934166,-0.14433985948562622,0.5349724888801575,0.017383579164743423,18.41768854888389,0.4763227601636554,solido (periodico)
Qwen2.5-3B,1.0,4,0.393765903307888,0.03587751090526581,0.03587751090526581,0.00579079007729888,0.23603628078837394,0.6733416015227864,non valutabile
Qwen2.5-3B,1.1,1,0.24021739130434783,0.010900589637458324,0.010900589637458324,0.0025187255814671516,0.0451040397973041,0.7965548428812292,non valutabile
Qwen2.5-3B,1.1,3,0.2846209912536443,0.01959671638906002,0.01959671638906002,0.00282014487311244,0.0720421687004806,1.744092855084949,non valutabile
Qwen2.5-3B,1.1,4,0.35555555555555557,0.021272500976920128,0.021327856928110123,0.004429638385772705,0.10854868170072846,1.0801373537548602,non valutabile
Qwen2.5-3B,1.1,5,0.46032414228583457,0.03262718394398689,0.03262718394398689,0.004518437664955854,0.16675810946383546,2.4517211712802256,non valutabile
Qwen2.5-3B,1.2,1,0.24274553571428573,0.0033102647867053747,0.0050115990452468395,0.0020649756770581007,0.05918394815011867,0.7852067370612792,non valutabile
