modello,temperatura,sample_id,n_continuations,n_token,n_tipi,n_char,n_parole,alpha,MAPE,alpha_rango,beta,R,TTR,TTR_parole,rip_8gram,dist_rip_media,dist_rip_sd,alpha_DFA,alpha_DFA_mescolato,R_gzip,compr_condizionata,prefix_media,prefix_trend,prefix_var,gap_shuffle,NCD_shuffle,H_char_norm,H_parola_norm,quota_non_ascii,H_bit_char,D_s_umano,LCS_umano,alpha_DFA_o2,scarto_ordine
Qwen3.5-4B-Base,1.0,1,5,20000,7550,70946,11526,1.2736769171812552,0.14823929269430586,0.8314798504313461,0.9045108031827437,0.9128451988852293,0.3775,0.521603331598126,0.0,746.797424737033,1410.3645591938798,0.570731385349903,0.4950679876234113,0.5534365558912386,0.6093225307819412,0.536448839214139,-0.0002244308592086674,0.1289430021276573,0.004794629388570004,0.9872194361945567,0.5035688282119698,0.8648220711026091,0.02831731175823866,3.424681269096978,0.1974544057958516,25,0.5733842650529942,0.0026528797030912488
Qwen3.5-4B-Base,1.0,2,0,20000,6535,61356,9375,1.3387541812263406,0.20675961283002367,0.8592492402639466,0.9064803109751661,0.60132320509679,0.32675,0.49738666666666664,0.0,661.1982173174873,1250.5731401546568,0.8133233606623305,0.4859489938729319,0.5683165488179416,0.6272339324970904,0.537659313961259,-0.000678885724828995,0.14677403006391115,0.00034618956410825685,0.9880859620459972,0.4891434981981058,0.8586527493300703,0.07397809505182867,4.192607048748283,0.15491153616302156,20,0.7812969913653479,-0.03202636929698255
Qwen3.5-4B-Base,1.0,3,1,20000,5098,43496,6758,1.3355573876915385,0.2592255067487067,1.0324105284201215,0.8151010596759035,0.31561290322580643,0.2549,0.5865640722107133,0.0028143978669826764,333.0769506084467,614.3087129986075,0.7525789951025635,0.4837443448263221,0.5991088478676002,0.6946891900103299,0.5233998266722363,-0.001098053194016916,0.060758796927421276,0.007243073886244233,0.9966607977657701,0.5985572795908578,0.9218772219455907,0.137897737723009,6.1071560488216345,0.49155511325758816,25,0.6278226385414386,-0.12475635656112494
Qwen3.5-4B-Base,1.0,4,3,20000,6297,58942,8924,1.1224306030863327,0.2134494783528711,0.7524865006766447,0.9051580569671783,0.5540473840078973,0.31485,0.502017032720753,0.0,608.3188568856885,1156.5211276182188,0.7705071330180128,0.4879263257260008,0.5106242479382502,0.514375408763898,0.5294320719386465,-0.000253647508636225,0.11157642865011856,0.0007772722644434626,0.9901715665143547,0.5380483827927766,0.8680677532538832,0.11716602762037256,4.958742615485709,0.19514229331580646,26,0.7769541541778704,0.006447021159857624
Qwen3.5-4B-Base,1.0,5,3,20000,6402,54930,8754,1.3223258636925148,0.2779164386165939,0.8658306876603907,0.8551870719035911,0.5834776156319564,0.3201,0.5548320767649074,0.0,614.9679240441366,1144.919734795893,0.6549483854907502,0.5148680295639751,0.5935099116094384,0.6359656234798119,0.547892797121614,-4.760488349479243e-05,0.0553472523033677,0.0007876918428232349,0.9930277863221573,0.5177992589469559,0.8785347366364548,0.1055889313671946,4.74652307598395,0.18404415341158997,29,0.6794213225092522,0.02447293701850206
Qwen3.5-4B-Base,1.1,1,1,20000,10013,75647,10351,1.908735928157341,0.554354113646459,0.8277819671991531,0.8319630523544702,0.7800888888888889,0.50065,0.7939329533378418,0.0,2191.9507735583684,2071.580876665445,0.5050074242344051,0.47956237870795915,0.5973469146038138,0.570794851283543,0.6587961354658156,-0.002153597760680726,0.034662439562670545,-0.0006549387010583718,0.9738073521830511,0.4974973049632627,0.9806410924344321,0.07819212923182678,3.2769460319529564,0.7454250635665403,19,0.49745294425390085,-0.007554479980504292
Qwen3.5-4B-Base,1.1,2,2,20000,10128,84920,10889,1.8510401057537884,0.5075059069227524,0.6631474747806095,0.8788499585693433,0.6704601682335477,0.5064,0.7219212048856645,0.0,2077.294253632761,2031.3909602604838,0.540989813916805,0.520332834070969,0.5625834374057965,0.5257383056693253,0.6063263842467279,-0.001741620878151101,0.046563857193935534,-0.0010233682614577688,0.9750645871208496,0.4721327507660642,0.9746220259821587,0.057053697597739046,3.0637710253357446,0.5008035631777685,21,0.5174798217658023,-0.02350999215100269
Qwen3.5-4B-Base,1.1,3,2,20000,10672,86344,10782,2.04458643136294,0.5936916170346674,0.7606738387661928,0.914424182206212,0.725185903653411,0.5336,0.7573734001112966,0.0,2111.803134556575,2081.1451514226173,0.5617700671640082,0.5110260909717761,0.5632938783459199,0.526881487420634,0.6408815821021969,-0.006101597510575122,0.11041894547390928,-6.5162868697621334e-06,0.9756448917657453,0.4705374444010432,0.9778513426158524,0.046870656907254706,3.0836012585094386,0.46380976349704706,22,0.5635922926969095,0.0018222255329012338
Qwen3.5-4B-Base,1.1,4,1,20000,10610,85648,11082,1.9887216393979634,0.4638834469496455,0.7326947227013176,0.9177458845175017,0.7345103809056727,0.5305,0.7472477892077243,0.0038826185101580313,2061.9689396644058,2097.9156484328005,0.546941054284099,0.49951265449652216,0.5622844921653354,0.5301412256995903,0.6645522064349842,-0.006984752538641579,0.11084414996857608,-0.00020058758622931716,0.976964874830196,0.47198599743566677,0.9759707581342354,0.04548851111526247,3.073686141922592,0.47167094592920056,19,0.5398113865522978,-0.007129667731801237
Qwen3.5-4B-Base,1.1,5,0,20000,10120,76132,10242,1.9383841688215784,0.45871421488124575,0.7726329288669185,0.8755682865346767,0.7002688172043011,0.506,0.7876391329818395,0.0,2060.1264367816093,2084.829865020814,0.5915739645587945,0.5014826374656068,0.5957676787086856,0.5772725087727731,0.6429763436164176,-0.0058726464212602685,0.11645333598620779,-0.00046864691014880666,0.9750231826795146,0.48779058859077573,0.9788865228976548,0.06299584931434876,3.277441787782299,0.5063526331298769,19,0.5524931448647623,-0.03908081969403221
Qwen3.5-4B-Base,1.2,1,0,20000,8399,53864,6185,1.4919531314145347,0.6082815595442346,0.8167594851000205,0.7566762245245466,0.692664248286981,0.41995,0.9070331447049312,0.0,1458.2173913043478,1306.465646947544,0.5288105797864194,0.496464296592004,0.6649022503619003,0.6348189662841385,0.7008797077766313,-0.01112140479587778,0.030678372257875723,0.0008944022960661879,0.970707248416608,0.5517576343488567,0.9923811808258688,0.1593643249665825,3.8049422990385073,1.0127052662597542,20,0.5320691747925326,0.003258595006113141
