sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A1_sd,gamma_A2,gamma_A2_sd,cv_tau_A2,quota_burstiness,tipo,wordset,label,gruppo,modello,temperature,sample_id,degenerato,params_B,deg_ripetizione,deg_alfabeto,deg_lessico,kgram_unique,lat_frac,voc_ref,n_continuations,file
f,lettere,892,0.01784,50000,1.1317696818100405,0.006789165629050168,1.0850605146182373,True,56.08529741863075,53.42618048409701,0.9525879854984879,-0.02428162769290421,0.9482070847086153,0.09045036958507295,0.996324926436397,0.06631734300149429,0.9525879854984879,-0.027890130059667045,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
g,lettere,744,0.01488,50000,1.1562828491891377,0.00589251682052978,1.1440673677989226,True,67.14131897711978,68.97718441402581,1.0273433031235453,0.01348725846353564,0.919077838113738,0.07535731813204812,0.9984293754263641,0.04912255926054753,1.0273433031235453,-0.01004988443571994,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
y,lettere,648,0.01296,50000,1.2454215364332695,0.004548199274604081,1.2214623064125947,True,77.23338485316847,83.80773513742983,1.085123166578289,0.040824047203876695,0.9089489244776839,0.08364769892071632,1.1376118498507852,0.06898731180408885,1.085123166578289,0.5607162755588164,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
p,lettere,739,0.01478,50000,1.2585580054030034,0.008306114765546121,1.2022826287711799,True,67.65447154471545,72.13360973205765,1.0662060922962315,0.032042346861273115,0.9715036839833373,0.057280584795058154,0.973292167238221,0.04641061271413059,1.0662060922962315,-0.10329532330724259,lettera,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
the,parole,935,0.0187,50000,1.3931859902741364,0.008114904517705301,1.3429674172361805,True,53.478586723768736,53.330684604656696,0.9972343674698063,-0.001384731093776107,0.9952629391712978,0.07425725690579503,1.0349167445358274,0.06946088118269632,0.9972343674698063,0.08880465072390499,funzione,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
and,parole,345,0.0069,50000,1.0976746515468288,0.009454385655107525,1.0218199274659796,True,144.75,113.0329359364517,0.780883840666333,-0.1230378727293538,1.006063659246792,0.02369921305818732,0.895659374906803,0.037109089308631125,0.7808838406663329,-1.0682467092618428,funzione,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
to,parole,290,0.0058,50000,1.2093716380903226,0.006134445387278816,1.179998934412406,True,172.1038062283737,196.17709974568638,1.1398765898609384,0.06536666204195846,0.943811159290072,0.056700917634006164,1.0944496700560737,0.03883760819482208,1.1398765898609384,0.4511101451827411,funzione,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
of,parole,357,0.00714,50000,1.0742867855239935,0.011314341556948167,1.1179526863248623,True,139.26685393258427,133.60593358751956,0.9593519909065726,-0.02074563900824168,0.9407703660133467,0.0523130014138557,1.0155481465959195,0.0919467177517415,0.9593519909065726,0.20929895520782374,funzione,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
he,parole,241,0.00482,50000,1.5740868403731456,0.005087490094468819,1.5374895211914514,True,196.67083333333332,483.02227135704385,2.4559934138194217,0.4212951934449198,0.9720342106685989,0.12783567654621164,1.3880994173273082,0.039315759418248726,2.4559934138194217,0.6760291127297935,funzione,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
in,parole,173,0.00346,50000,1.0193766960137791,0.009825351557439983,1.0331667599081942,True,288.0755813953488,303.32502415303253,1.0529355618543583,0.025785301223260552,0.960688788529955,0.06085411809008546,1.118231778567445,0.04149105491117577,1.0529355618543583,,funzione,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
prince,parole,4,8e-05,50000,,,,False,,,,,,,,,,,keyword,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
pierre,parole,0,0.0,50000,,,,False,,,,,,,,,,,keyword,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
andrew,parole,0,0.0,50000,,,,False,,,,,,,,,,,keyword,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
natásha,parole,0,0.0,50000,,,,False,,,,,,,,,,,keyword,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
rostóv,parole,0,0.0,50000,,,,False,,,,,,,,,,,keyword,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
princess,parole,0,0.0,50000,,,,False,,,,,,,,,,,keyword,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
will,parole,43,0.00086,50000,1.3234847958691767,0.01543878214192508,1.2103321763228967,True,1183.8809523809523,2990.8621418139046,2.526320011990105,0.4328365000341291,0.9536208949837669,0.013272285252565998,1.3215478142853538,0.0178042680490824,2.526320011990105,0.9940121402657632,keyword,riferimento,Qwen3.5-2B-Base-v2_T0.9_s1,llm,Qwen3.5-2B-Base-v2,0.9,1,False,2.0,False,False,False,0.905004800768123,0.99456,0.9643210012075969,2.0,sweep_qwen3.5-2b-base.jsonl
